"filename", "language", "Dart", "JSON", "YAML", "JavaScript", "Markdown", "HTML", "XML", "C++", "Swift", "Groovy", "Properties", "Kotlin", "comment", "blank", "total"
"c:\Flutter Projects\truyou\lib\bloc\location_bloc\location_bloc.dart", "Dart", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 58
"c:\Flutter Projects\truyou\lib\bloc\location_bloc\location_bloc.freezed.dart", "Dart", 967, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 147, 1153
"c:\Flutter Projects\truyou\lib\bloc\location_bloc\location_event.dart", "Dart", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Flutter Projects\truyou\lib\bloc\location_bloc\location_state.dart", "Dart", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Flutter Projects\truyou\lib\bloc\my_matches_bloc\my_matches_bloc.dart", "Dart", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 54
"c:\Flutter Projects\truyou\lib\bloc\my_matches_bloc\my_matches_bloc.freezed.dart", "Dart", 858, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 131, 1025
"c:\Flutter Projects\truyou\lib\bloc\my_matches_bloc\my_matches_event.dart", "Dart", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Flutter Projects\truyou\lib\bloc\my_matches_bloc\my_matches_state.dart", "Dart", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Flutter Projects\truyou\lib\bloc\swipe_bloc\swipe_bloc.dart", "Dart", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 44
"c:\Flutter Projects\truyou\lib\bloc\swipe_bloc\swipe_bloc.freezed.dart", "Dart", 1045, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 154, 1238
"c:\Flutter Projects\truyou\lib\bloc\swipe_bloc\swipe_event.dart", "Dart", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Flutter Projects\truyou\lib\bloc\swipe_bloc\swipe_state.dart", "Dart", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Flutter Projects\truyou\lib\bloc\unmatch_bloc\unmatch_bloc.dart", "Dart", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 30
"c:\Flutter Projects\truyou\lib\bloc\unmatch_bloc\unmatch_bloc.freezed.dart", "Dart", 684, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 113, 830
"c:\Flutter Projects\truyou\lib\bloc\unmatch_bloc\unmatch_event.dart", "Dart", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Flutter Projects\truyou\lib\bloc\unmatch_bloc\unmatch_state.dart", "Dart", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Flutter Projects\truyou\lib\bloc\user_profile_bloc\user_profile_bloc.dart", "Dart", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 51
"c:\Flutter Projects\truyou\lib\bloc\user_profile_bloc\user_profile_bloc.freezed.dart", "Dart", 815, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 131, 982
"c:\Flutter Projects\truyou\lib\bloc\user_profile_bloc\user_profile_event.dart", "Dart", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Flutter Projects\truyou\lib\bloc\user_profile_bloc\user_profile_state.dart", "Dart", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Flutter Projects\truyou\lib\components\components.dart", "Dart", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Flutter Projects\truyou\lib\components\utils\auto-route-tester\auto_drawer_route_tester.dart", "Dart", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19, 71
"c:\Flutter Projects\truyou\lib\components\utils\auto-route-tester\auto_route_tester.dart", "Dart", 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 12, 104
"c:\Flutter Projects\truyou\lib\components\utils\auto-validate-tester\auto_validate_tester.dart", "Dart", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 7, 62
"c:\Flutter Projects\truyou\lib\components\utils\constants\constants.dart", "Dart", 341, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 352
"c:\Flutter Projects\truyou\lib\components\utils\constants\constants_export.dart", "Dart", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Flutter Projects\truyou\lib\components\utils\constants\keys.dart", "Dart", 568, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 134, 73, 775
"c:\Flutter Projects\truyou\lib\components\utils\date-helper\date_helper.dart", "Dart", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 39
"c:\Flutter Projects\truyou\lib\components\utils\exceptions\exception_handler.dart", "Dart", 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 106
"c:\Flutter Projects\truyou\lib\components\utils\exceptions\exceptions.dart", "Dart", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Flutter Projects\truyou\lib\components\utils\exceptions\failure_type.dart", "Dart", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 28
"c:\Flutter Projects\truyou\lib\components\utils\exceptions\failure_type.freezed.dart", "Dart", 2766, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 239, 3059
"c:\Flutter Projects\truyou\lib\components\utils\formatters\formatter.dart", "Dart", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Flutter Projects\truyou\lib\components\utils\formatters\long_text_formatter.dart", "Dart", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Flutter Projects\truyou\lib\components\utils\formatters\match_pledging_formatter.dart", "Dart", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Flutter Projects\truyou\lib\components\utils\formatters\password_formatter.dart", "Dart", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Flutter Projects\truyou\lib\components\utils\formatters\phone_number_formatter.dart", "Dart", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"c:\Flutter Projects\truyou\lib\components\utils\formatters\search_formatter.dart", "Dart", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Flutter Projects\truyou\lib\components\utils\formatters\short_text_formatter.dart", "Dart", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Flutter Projects\truyou\lib\components\utils\formatters\space_remover_formatter.dart", "Dart", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 24
"c:\Flutter Projects\truyou\lib\components\utils\formatters\stake_trust_formatter.dart", "Dart", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Flutter Projects\truyou\lib\components\utils\formatters\wallet_formatter.dart", "Dart", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Flutter Projects\truyou\lib\components\utils\geo_helper\geo_helper.dart", "Dart", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 65
"c:\Flutter Projects\truyou\lib\components\utils\injector\injection_container.dart", "Dart", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 35
"c:\Flutter Projects\truyou\lib\components\utils\media-query\media_query.dart", "Dart", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 13, 67
